"icd_10_cm","valid_flag","short_description","long_description"
"A00",0,"Cholera","Cholera"
"A000",1,"Cholera due to Vibrio cholerae 01, biovar cholerae","Cholera due to Vibrio cholerae 01, biovar cholerae"
"A001",1,"Cholera due to Vibrio cholerae 01, biovar eltor","Cholera due to Vibrio cholerae 01, biovar eltor"
"A009",1,"Cholera, unspecified","Cholera, unspecified"
"A01",0,"Typhoid and paratyphoid fevers","Typhoid and paratyphoid fevers"
"A010",0,"Typhoid fever","Typhoid fever"
"A0100",1,"Typhoid fever, unspecified","Typhoid fever, unspecified"
"A0101",1,"Typhoid meningitis","Typhoid meningitis"
"A0102",1,"Typhoid fever with heart involvement","Typhoid fever with heart involvement"
"A0103",1,"Typhoid pneumonia","Typhoid pneumonia"
"A0104",1,"Typhoid arthritis","Typhoid arthritis"
"A0105",1,"Typhoid osteomyelitis","Typhoid osteomyelitis"
"A0109",1,"Typhoid fever with other complications","Typhoid fever with other complications"
"A011",1,"Paratyphoid fever A","Paratyphoid fever A"
"A012",1,"Paratyphoid fever B","Paratyphoid fever B"
"A013",1,"Paratyphoid fever C","Paratyphoid fever C"
"A014",1,"Paratyphoid fever, unspecified","Paratyphoid fever, unspecified"
"A02",0,"Other salmonella infections","Other salmonella infections"
"A020",1,"Salmonella enteritis","Salmonella enteritis"
"A021",1,"Salmonella sepsis","Salmonella sepsis"
"A022",0,"Localized salmonella infections","Localized salmonella infections"
"A0220",1,"Localized salmonella infection, unspecified","Localized salmonella infection, unspecified"
"A0221",1,"Salmonella meningitis","Salmonella meningitis"
"A0222",1,"Salmonella pneumonia","Salmonella pneumonia"
"A0223",1,"Salmonella arthritis","Salmonella arthritis"
"A0224",1,"Salmonella osteomyelitis","Salmonella osteomyelitis"
"A0225",1,"Salmonella pyelonephritis","Salmonella pyelonephritis"
"A0229",1,"Salmonella with other localized infection","Salmonella with other localized infection"
"A028",1,"Other specified salmonella infections","Other specified salmonella infections"
"A029",1,"Salmonella infection, unspecified","Salmonella infection, unspecified"
"A03",0,"Shigellosis","Shigellosis"
"A030",1,"Shigellosis due to Shigella dysenteriae","Shigellosis due to Shigella dysenteriae"
"A031",1,"Shigellosis due to Shigella flexneri","Shigellosis due to Shigella flexneri"
"A032",1,"Shigellosis due to Shigella boydii","Shigellosis due to Shigella boydii"
"A033",1,"Shigellosis due to Shigella sonnei","Shigellosis due to Shigella sonnei"
"A038",1,"Other shigellosis","Other shigellosis"
"A039",1,"Shigellosis, unspecified","Shigellosis, unspecified"
"A04",0,"Other bacterial intestinal infections","Other bacterial intestinal infections"
"A040",1,"Enteropathogenic Escherichia coli infection","Enteropathogenic Escherichia coli infection"
"A041",1,"Enterotoxigenic Escherichia coli infection","Enterotoxigenic Escherichia coli infection"
"A042",1,"Enteroinvasive Escherichia coli infection","Enteroinvasive Escherichia coli infection"
"A043",1,"Enterohemorrhagic Escherichia coli infection","Enterohemorrhagic Escherichia coli infection"
"A044",1,"Other intestinal Escherichia coli infections","Other intestinal Escherichia coli infections"
"A045",1,"Campylobacter enteritis","Campylobacter enteritis"
