"icd_10_pcs","valid_flag","short_description","long_description"
"001",0,"Central Nervous System and Cranial Nerves, Bypass","Central Nervous System and Cranial Nerves, Bypass"
"0016070",1,"Bypass Cereb Vent to Nasophar with Autol Sub, Open Approach","Bypass Cerebral Ventricle to Nasopharynx with Autologous Tissue Substitute, Open Approach"
"0016071",1,"Bypass Cereb Vent to Mastoid Sinus w Autol Sub, Open","Bypass Cerebral Ventricle to Mastoid Sinus with Autologous Tissue Substitute, Open Approach"
"0016072",1,"Bypass Cereb Vent to Atrium with Autol Sub, Open Approach","Bypass Cerebral Ventricle to Atrium with Autologous Tissue Substitute, Open Approach"
"0016073",1,"Bypass Cereb Vent to Blood Vess w Autol Sub, Open","Bypass Cerebral Ventricle to Blood Vessel with Autologous Tissue Substitute, Open Approach"
"0016074",1,"Bypass Cereb Vent to Pleural Cav w Autol Sub, Open","Bypass Cerebral Ventricle to Pleural Cavity with Autologous Tissue Substitute, Open Approach"
"0016075",1,"Bypass Cereb Vent to Intestine with Autol Sub, Open Approach","Bypass Cerebral Ventricle to Intestine with Autologous Tissue Substitute, Open Approach"
"0016076",1,"Bypass Cereb Vent to Periton Cav w Autol Sub, Open","Bypass Cerebral Ventricle to Peritoneal Cavity with Autologous Tissue Substitute, Open Approach"
"0016077",1,"Bypass Cereb Vent to Urinary Tract w Autol Sub, Open","Bypass Cerebral Ventricle to Urinary Tract with Autologous Tissue Substitute, Open Approach"
"0016078",1,"Bypass Cereb Vent to Bone Mar with Autol Sub, Open Approach","Bypass Cerebral Ventricle to Bone Marrow with Autologous Tissue Substitute, Open Approach"
"001607A",1,"Bypass Cereb Vent to Subgaleal with Autol Sub, Open Approach","Bypass Cerebral Ventricle to Subgaleal Space with Autologous Tissue Substitute, Open Approach"
"001607B",1,"Bypass Cereb Vent to Cereb Cistern w Autol Sub, Open","Bypass Cerebral Ventricle to Cerebral Cisterns with Autologous Tissue Substitute, Open Approach"
"00160J0",1,"Bypass Cereb Vent to Nasophar with Synth Sub, Open Approach","Bypass Cerebral Ventricle to Nasopharynx with Synthetic Substitute, Open Approach"
"00160J1",1,"Bypass Cereb Vent to Mastoid Sinus w Synth Sub, Open","Bypass Cerebral Ventricle to Mastoid Sinus with Synthetic Substitute, Open Approach"
"00160J2",1,"Bypass Cereb Vent to Atrium with Synth Sub, Open Approach","Bypass Cerebral Ventricle to Atrium with Synthetic Substitute, Open Approach"
"00160J3",1,"Bypass Cereb Vent to Blood Vess w Synth Sub, Open","Bypass Cerebral Ventricle to Blood Vessel with Synthetic Substitute, Open Approach"
"00160J4",1,"Bypass Cereb Vent to Pleural Cav w Synth Sub, Open","Bypass Cerebral Ventricle to Pleural Cavity with Synthetic Substitute, Open Approach"
"00160J5",1,"Bypass Cereb Vent to Intestine with Synth Sub, Open Approach","Bypass Cerebral Ventricle to Intestine with Synthetic Substitute, Open Approach"
"00160J6",1,"Bypass Cereb Vent to Periton Cav w Synth Sub, Open","Bypass Cerebral Ventricle to Peritoneal Cavity with Synthetic Substitute, Open Approach"
"00160J7",1,"Bypass Cereb Vent to Urinary Tract w Synth Sub, Open","Bypass Cerebral Ventricle to Urinary Tract with Synthetic Substitute, Open Approach"
"00160J8",1,"Bypass Cereb Vent to Bone Mar with Synth Sub, Open Approach","Bypass Cerebral Ventricle to Bone Marrow with Synthetic Substitute, Open Approach"
"00160JA",1,"Bypass Cereb Vent to Subgaleal with Synth Sub, Open Approach","Bypass Cerebral Ventricle to Subgaleal Space with Synthetic Substitute, Open Approach"
"00160JB",1,"Bypass Cereb Vent to Cereb Cistern w Synth Sub, Open","Bypass Cerebral Ventricle to Cerebral Cisterns with Synthetic Substitute, Open Approach"
"00160K0",1,"Bypass Cereb Vent to Nasophar with Nonaut Sub, Open Approach","Bypass Cerebral Ventricle to Nasopharynx with Nonautologous Tissue Substitute, Open Approach"
"00160K1",1,"Bypass Cereb Vent to Mastoid Sinus w Nonaut Sub, Open","Bypass Cerebral Ventricle to Mastoid Sinus with Nonautologous Tissue Substitute, Open Approach"
"00160K2",1,"Bypass Cereb Vent to Atrium with Nonaut Sub, Open Approach","Bypass Cerebral Ventricle to Atrium with Nonautologous Tissue Substitute, Open Approach"
"00160K3",1,"Bypass Cereb Vent to Blood Vess w Nonaut Sub, Open","Bypass Cerebral Ventricle to Blood Vessel with Nonautologous Tissue Substitute, Open Approach"
"00160K4",1,"Bypass Cereb Vent to Pleural Cav w Nonaut Sub, Open","Bypass Cerebral Ventricle to Pleural Cavity with Nonautologous Tissue Substitute, Open Approach"
"00160K5",1,"Bypass Cereb Vent to Intestine w Nonaut Sub, Open","Bypass Cerebral Ventricle to Intestine with Nonautologous Tissue Substitute, Open Approach"
"00160K6",1,"Bypass Cereb Vent to Periton Cav w Nonaut Sub, Open","Bypass Cerebral Ventricle to Peritoneal Cavity with Nonautologous Tissue Substitute, Open Approach"
"00160K7",1,"Bypass Cereb Vent to Urinary Tract w Nonaut Sub, Open","Bypass Cerebral Ventricle to Urinary Tract with Nonautologous Tissue Substitute, Open Approach"
"00160K8",1,"Bypass Cereb Vent to Bone Mar with Nonaut Sub, Open Approach","Bypass Cerebral Ventricle to Bone Marrow with Nonautologous Tissue Substitute, Open Approach"
"00160KA",1,"Bypass Cereb Vent to Subgaleal w Nonaut Sub, Open","Bypass Cerebral Ventricle to Subgaleal Space with Nonautologous Tissue Substitute, Open Approach"
"00160KB",1,"Bypass Cereb Vent to Cereb Cistern w Nonaut Sub, Open","Bypass Cerebral Ventricle to Cerebral Cisterns with Nonautologous Tissue Substitute, Open Approach"
"00160ZB",1,"Bypass Cerebral Ventricle to Cereb Cistern, Open Approach","Bypass Cerebral Ventricle to Cerebral Cisterns, Open Approach"
"0016370",1,"Bypass Cereb Vent to Nasophar with Autol Sub, Perc Approach","Bypass Cerebral Ventricle to Nasopharynx with Autologous Tissue Substitute, Percutaneous Approach"
"0016371",1,"Bypass Cereb Vent to Mastoid Sinus w Autol Sub, Perc","Bypass Cerebral Ventricle to Mastoid Sinus with Autologous Tissue Substitute, Percutaneous Approach"
"0016372",1,"Bypass Cereb Vent to Atrium with Autol Sub, Perc Approach","Bypass Cerebral Ventricle to Atrium with Autologous Tissue Substitute, Percutaneous Approach"
"0016373",1,"Bypass Cereb Vent to Blood Vess w Autol Sub, Perc","Bypass Cerebral Ventricle to Blood Vessel with Autologous Tissue Substitute, Percutaneous Approach"
"0016374",1,"Bypass Cereb Vent to Pleural Cav w Autol Sub, Perc","Bypass Cerebral Ventricle to Pleural Cavity with Autologous Tissue Substitute, Percutaneous Approach"
"0016375",1,"Bypass Cereb Vent to Intestine with Autol Sub, Perc Approach","Bypass Cerebral Ventricle to Intestine with Autologous Tissue Substitute, Percutaneous Approach"
"0016376",1,"Bypass Cereb Vent to Periton Cav w Autol Sub, Perc","Bypass Cerebral Ventricle to Peritoneal Cavity with Autologous Tissue Substitute, Percutaneous Approach"
"0016377",1,"Bypass Cereb Vent to Urinary Tract w Autol Sub, Perc","Bypass Cerebral Ventricle to Urinary Tract with Autologous Tissue Substitute, Percutaneous Approach"
"0016378",1,"Bypass Cereb Vent to Bone Mar with Autol Sub, Perc Approach","Bypass Cerebral Ventricle to Bone Marrow with Autologous Tissue Substitute, Percutaneous Approach"
"001637A",1,"Bypass Cereb Vent to Subgaleal with Autol Sub, Perc Approach","Bypass Cerebral Ventricle to Subgaleal Space with Autologous Tissue Substitute, Percutaneous Approach"
"001637B",1,"Bypass Cereb Vent to Cereb Cistern w Autol Sub, Perc","Bypass Cerebral Ventricle to Cerebral Cisterns with Autologous Tissue Substitute, Percutaneous Approach"
"00163J0",1,"Bypass Cereb Vent to Nasophar with Synth Sub, Perc Approach","Bypass Cerebral Ventricle to Nasopharynx with Synthetic Substitute, Percutaneous Approach"
"00163J1",1,"Bypass Cereb Vent to Mastoid Sinus w Synth Sub, Perc","Bypass Cerebral Ventricle to Mastoid Sinus with Synthetic Substitute, Percutaneous Approach"
"00163J2",1,"Bypass Cereb Vent to Atrium with Synth Sub, Perc Approach","Bypass Cerebral Ventricle to Atrium with Synthetic Substitute, Percutaneous Approach"
"00163J3",1,"Bypass Cereb Vent to Blood Vess w Synth Sub, Perc","Bypass Cerebral Ventricle to Blood Vessel with Synthetic Substitute, Percutaneous Approach"
"00163J4",1,"Bypass Cereb Vent to Pleural Cav w Synth Sub, Perc","Bypass Cerebral Ventricle to Pleural Cavity with Synthetic Substitute, Percutaneous Approach"
"00163J5",1,"Bypass Cereb Vent to Intestine with Synth Sub, Perc Approach","Bypass Cerebral Ventricle to Intestine with Synthetic Substitute, Percutaneous Approach"
"00163J6",1,"Bypass Cereb Vent to Periton Cav w Synth Sub, Perc","Bypass Cerebral Ventricle to Peritoneal Cavity with Synthetic Substitute, Percutaneous Approach"
"00163J7",1,"Bypass Cereb Vent to Urinary Tract w Synth Sub, Perc","Bypass Cerebral Ventricle to Urinary Tract with Synthetic Substitute, Percutaneous Approach"
"00163J8",1,"Bypass Cereb Vent to Bone Mar with Synth Sub, Perc Approach","Bypass Cerebral Ventricle to Bone Marrow with Synthetic Substitute, Percutaneous Approach"
