"icd_10_cm","description","ccs_diagnosis_category","ccs_description"
"A000","Cholera due to Vibrio cholerae 01, biovar cholerae",135,"Intestinal infection"
"A001","Cholera due to Vibrio cholerae 01, biovar eltor",135,"Intestinal infection"
"A009","Cholera, unspecified",135,"Intestinal infection"
"A0100","Typhoid fever, unspecified",135,"Intestinal infection"
"A0101","Typhoid meningitis",76,"Meningitis (except that caused by tuberculosis or sexually transmitted disease)"
"A0102","Typhoid fever with heart involvement",3,"Bacterial infection; unspecified site"
"A0103","Typhoid pneumonia",122,"Pneumonia (except that caused by tuberculosis or sexually transmitted disease)"
"A0104","Typhoid arthritis",201,"Infective arthritis and osteomyelitis (except that caused by tuberculosis or sexually transmitted disease)"
"A0105","Typhoid osteomyelitis",201,"Infective arthritis and osteomyelitis (except that caused by tuberculosis or sexually transmitted disease)"
"A0109","Typhoid fever with other complications",135,"Intestinal infection"
"A011","Paratyphoid fever A",135,"Intestinal infection"
"A012","Paratyphoid fever B",135,"Intestinal infection"
"A013","Paratyphoid fever C",135,"Intestinal infection"
"A014","Paratyphoid fever, unspecified",135,"Intestinal infection"
"A020","Salmonella enteritis",135,"Intestinal infection"
"A021","Salmonella sepsis",2,"Septicemia (except in labor)"
"A0220","Localized salmonella infection, unspecified",135,"Intestinal infection"
"A0221","Salmonella meningitis",76,"Meningitis (except that caused by tuberculosis or sexually transmitted disease)"
"A0222","Salmonella pneumonia",122,"Pneumonia (except that caused by tuberculosis or sexually transmitted disease)"
"A0223","Salmonella arthritis",201,"Infective arthritis and osteomyelitis (except that caused by tuberculosis or sexually transmitted disease)"
"A0224","Salmonella osteomyelitis",201,"Infective arthritis and osteomyelitis (except that caused by tuberculosis or sexually transmitted disease)"
"A0225","Salmonella pyelonephritis",135,"Intestinal infection"
"A0229","Salmonella with other localized infection",135,"Intestinal infection"
"A028","Other specified salmonella infections",135,"Intestinal infection"
"A029","Salmonella infection, unspecified",135,"Intestinal infection"
"A030","Shigellosis due to Shigella dysenteriae",135,"Intestinal infection"
"A031","Shigellosis due to Shigella flexneri",135,"Intestinal infection"
"A032","Shigellosis due to Shigella boydii",135,"Intestinal infection"
"A033","Shigellosis due to Shigella sonnei",135,"Intestinal infection"
"A038","Other shigellosis",135,"Intestinal infection"
"A039","Shigellosis, unspecified",135,"Intestinal infection"
"A040","Enteropathogenic Escherichia coli infection",135,"Intestinal infection"
"A041","Enterotoxigenic Escherichia coli infection",135,"Intestinal infection"
"A042","Enteroinvasive Escherichia coli infection",135,"Intestinal infection"
"A043","Enterohemorrhagic Escherichia coli infection",135,"Intestinal infection"
"A044","Other intestinal Escherichia coli infections",135,"Intestinal infection"
"A045","Campylobacter enteritis",135,"Intestinal infection"
"A046","Enteritis due to Yersinia enterocolitica",135,"Intestinal infection"
"A047","Enterocolitis due to Clostridium difficile",135,"Intestinal infection"
"A0471","Enterocolitis due to Clostridium difficile, recurrent",135,"Intestinal infection"
"A0472","Enterocolitis due to Clostridium difficile, not specified as recurrent",135,"Intestinal infection"
"A048","Other specified bacterial intestinal infections",135,"Intestinal infection"
"A049","Bacterial intestinal infection, unspecified",135,"Intestinal infection"
"A050","Foodborne staphylococcal intoxication",135,"Intestinal infection"
"A051","Botulism food poisoning",135,"Intestinal infection"
"A052","Foodborne Clostridium perfringens [Clostridium welchii] intoxication",135,"Intestinal infection"
"A053","Foodborne Vibrio parahaemolyticus intoxication",135,"Intestinal infection"
"A054","Foodborne Bacillus cereus intoxication",135,"Intestinal infection"
"A055","Foodborne Vibrio vulnificus intoxication",135,"Intestinal infection"
"A058","Other specified bacterial foodborne intoxications",135,"Intestinal infection"
"A059","Bacterial foodborne intoxication, unspecified",135,"Intestinal infection"
"A060","Acute amebic dysentery",135,"Intestinal infection"
"A061","Chronic intestinal amebiasis",135,"Intestinal infection"
"A062","Amebic nondysenteric colitis",135,"Intestinal infection"
"A063","Ameboma of intestine",135,"Intestinal infection"
"A064","Amebic liver abscess",135,"Intestinal infection"
"A065","Amebic lung abscess",135,"Intestinal infection"
"A066","Amebic brain abscess",135,"Intestinal infection"
"A067","Cutaneous amebiasis",135,"Intestinal infection"
"A0681","Amebic cystitis",135,"Intestinal infection"
"A0682","Other amebic genitourinary infections",135,"Intestinal infection"
"A0689","Other amebic infections",135,"Intestinal infection"
"A069","Amebiasis, unspecified",135,"Intestinal infection"
"A070","Balantidiasis",135,"Intestinal infection"
"A071","Giardiasis [lambliasis]",135,"Intestinal infection"
"A072","Cryptosporidiosis",135,"Intestinal infection"
"A073","Isosporiasis",135,"Intestinal infection"
"A074","Cyclosporiasis",135,"Intestinal infection"
"A078","Other specified protozoal intestinal diseases",135,"Intestinal infection"
"A079","Protozoal intestinal disease, unspecified",135,"Intestinal infection"
"A080","Rotaviral enteritis",135,"Intestinal infection"
"A0811","Acute gastroenteropathy due to Norwalk agent",135,"Intestinal infection"
"A0819","Acute gastroenteropathy due to other small round viruses",135,"Intestinal infection"
"A082","Adenoviral enteritis",135,"Intestinal infection"
"A0831","Calicivirus enteritis",135,"Intestinal infection"
"A0832","Astrovirus enteritis",135,"Intestinal infection"
"A0839","Other viral enteritis",135,"Intestinal infection"
"A084","Viral intestinal infection, unspecified",135,"Intestinal infection"
"A088","Other specified intestinal infections",135,"Intestinal infection"
"A09","Infectious gastroenteritis and colitis, unspecified",135,"Intestinal infection"
"A150","Tuberculosis of lung",1,"Tuberculosis"
"A154","Tuberculosis of intrathoracic lymph nodes",1,"Tuberculosis"
"A155","Tuberculosis of larynx, trachea and bronchus",1,"Tuberculosis"
